nid	mid	fields
1576635003623	1576634069964	马克思主义指导思想、中国特色社会主义共同理想、以爱国主义为核心的民族精神和以改革创新为核心的时代精神、社会主义荣辱观，构成社会主义核心价值体系的基本内容。其中，马克思主义指导思想作为社会主义核心价值体系的____，解决的是____的问题	其中，马克思主义指导思想作为社会主义核心价值体系的<u>灵魂</u>，解决的是<u>举什么旗</u>的问题
1591359636019	1576634069981	《荀子劝学》中说积土成山，风雨兴焉，积水成渊，蛟龙生焉，记得承善而神明自得。圣心备焉，故不积跬步，无以至千里，不积小流，无以成江海。道德的行为只有一个动作。一个动作的去做，一次一次的重复去做才能养成习惯，道德习惯的养成需要不断的重复和强化。习惯成自然，最终形成自己的道德个性品质。这个方法是下列的。<br><br>陶冶情操法，<br>积善成德法。<br>慎独方法<br>执行统一法。	
1586784155434	1576634069981	试述如何正确理解坚定中国特色社会主义的信念。	新中国成立以来，我们党带领人民投身社会主义建设事业，不断探索中国式社会主义建设道路，特别是在改革开放的伟大实践中，开辟了中国特色社会主义道路，形成了中国特色社会主义理论体系，完善了中国特色社会主义制度，培育了中国特色社会主义文化。树立中国特色社会主义共同理想，就是要高举中国特色社会主义伟大旗帜，确立中国特色社会主义道路自信、理论自信、制度自信、文化自信。其中，中国特色社会主义道路是实现社会主义现代化、创造人民美好生活的必由之路，中国特色社会主义理论体系是指导党和人民实现中华民族伟大复兴的正确理论，中国特色社会主义制度是当代中国发展进步的根本制度保障，中国特色社会主义文化是激励全党全国各族人民奋勇前进的强大精神力量。在当代中国，坚持中国特色社会主义，就是真正坚持社会主义，真正坚持马克思主义。尽管前进的道路上还会有这样那样的困难，但只要我们坚定理想信念，保持政治定力，始终坚持和发展中国特色社会主义，既不走封闭僵化的老路，也不走改旗易帜的邪路，就一定能够在全面建成小康社会的基础上，开启全面建设社会主义现代化国家新征程，实现中华民族伟大复兴的中国梦。
1596444648138	1576634069981	张三	18
1596444648139	1576634069981	李四	20
1593688713179	1576634069981	4、(P)试述完善以宪法为核心的中国特色社会主义法律体系的具体措施。1	(1)健全宪法实施和监督制度。<br>坚持依法治国首先要坚持依宪治国，坚持依法执政首先要坚持依宪执政。全国各族人民、一切国家机关和武装力量、各政党和各社会团体、各企业事业组织，都必须以宪法为根本的活动准则，并且负有维护宪法尊严、保证宪法实施的职责。一切违反宪法的行为都必须予以追究和纠正。完善全国人大及其常委会宪法监督制度，健全宪法解释程序机制。加强备案审查制度和能力建设，把所有规范性文件纳入备案审查范围，依法撤销和纠正违宪违法的规范性文件。<div><br></div><div>(2)完善立法体制。<br></div><div>(3)深入推进科学立法民主立法。<br></div><div>(4)加强重点领域立法。<br></div>
1593688760166	1576634069981	4、(P)试述完善以宪法为核心的中国特色社会主义法律体系的具体措施。2	(1)健全宪法实施和监督制度。<div><br></div><div>(2)完善立法体制。</div><div><br></div><div>(3)深入推进科学立法民主立法。<br></div><div>(4)加强重点领域立法。<br></div>
1593688783062	1576634069981	4、(P)试述完善以宪法为核心的中国特色社会主义法律体系的具体措施。3	(1)健全宪法实施和监督制度。<div>(2)完善立法体制。<br></div><div><br></div><div>(3)深入推进科学立法民主立法。<br>健全立法起草、论证、协调、审议机制，健全向下级人大征询立法意见机制，建立基层立法联系点制度，推进立法精细化。健全法律法规规章起草征求人大代表意见制度，增加人大代表列席人大常委会会议人数，更多发挥人大代表参与起草和修改法律作用。完善立法项目征集和论证制度。健全立法机关主导、社会各方有序参与立法的途径和方式。健全立法机关和社会公众沟通机制，开展立法协商。拓宽公民有序参与立法途径，健全法律法规规章草案公开征求意见和公众意见采纳情况反馈机制，广泛凝聚社会共识。<br></div><div><br></div><div>(4)加强重点领域立法。<br></div>
1592386740205	1576634069981	试述恋爱的概念及其道德要求。2	在产生和培养爱情的过程中，男女双方的相互交往活动，就是人们常说的恋爱。恋爱是一种人际交往，是结婚之前的一个相互考察阶段，客观上要对对方、对社会负起相应的道德责任。恋爱中的男女要处理好恋爱关系，应该正确认识恋爱的道德责任，遵守恋爱中的道德要求。<div><br></div><div>(1)真诚负责。</div><div><br></div><div>(2)平等互尊。恋爱双方在人格上是独立的,在相互关系上是平等的。男女双方应彼此尊重对方的情感和人格。每个人都有爱和被爱的权利,有选择各自爱人的权利。在当事人确立恋爱关系时,必须出于双方共同的意愿,彼此相爱,人格平等。任何一方都不能强迫或诱骗另一方接受自己的爱,即使这种爱慕是纯洁的,也不能强求对方接受。一方的爱只是单相思,不是爱情;只有双方发自内心的彼此相爱,才是爱情。男女双方一旦确定恋爱关系,就要共同承担这一关系所包含的各种义务。恋爱虽然包含了婚姻意识的萌发,但毕竟只是为缔结婚姻而进行的准备和相互考察。男女双方都有接受对方考察的义务,而没有责难对方中断恋爱关系的权利。既要反对那种不负责任的随意转移爱恋对象的所谓“自由恋爱”“三角恋爱”,也要反对那种借口曾与对方谈过恋爱,便禁止对方中断恋爱的霸道行为。恋爱双方主动践行道德责任,是恋爱关系得以巩固和发展的重要基础。<br><br></div><div>(3)恋爱关系确定后,男女双方无疑要通过较多的交往来培养和发展爱情。</div>
1592386764670	1576634069981	试述恋爱的概念及其道德要求。3	在产生和培养爱情的过程中，男女双方的相互交往活动，就是人们常说的恋爱。恋爱是一种人际交往，是结婚之前的一个相互考察阶段，客观上要对对方、对社会负起相应的道德责任。恋爱中的男女要处理好恋爱关系，应该正确认识恋爱的道德责任，遵守恋爱中的道德要求。<div><br></div><div>(1)真诚负责。</div><div><br></div><div>(2)平等互尊。<br><br></div><div>(3)恋爱关系确定后,男女双方无疑要通过较多的交往来培养和发展爱情。但是恋爱过程中,男女双方的交往要持之以度,有高尚的情趣和文明的方式,不应有轻率和放荡的行为。有着高尚道德品质的男女青年,在恋爱过程中会懂得追求志趣和理想的和谐一致,做到举止得体、相互尊重。恋爱是婚姻意识萌发及缔结婚姻的考察和准备阶段,恋爱本身不一定都能发展为婚姻,所以恋爱与男女间性的生活并无必然联系。婚前关系的性质,关系夫妻一生在道德上的纯洁,应该婚后做的事情不要在婚前做。正如当代作家丁玲曾说,轻率地玩弄恋爱正如玩火一样,随时有自焚的危险。因此,恋爱中的男女一定都要做有道德的恋人。</div>
